Airport.Code,Airport.Name,Time.Year,Statistics.Flights.Cancelled
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003,216
BOS,"Boston, MA: Logan International",2003,138
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003,29
CLT,"Charlotte, NC: Charlotte Douglas International",2003,73
DCA,"Washington, DC: Ronald Reagan Washington National",2003,74
DEN,"Denver, CO: Denver International",2003,34
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003,394
DTW,"Detroit, MI: Detroit Metro Wayne County",2003,123
EWR,"Newark, NJ: Newark Liberty International",2003,102
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003,13
IAD,"Washington, DC: Washington Dulles International",2003,101
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003,91
JFK,"New York, NY: John F. Kennedy International",2003,24
LAS,"Las Vegas, NV: McCarran International",2003,39
LAX,"Los Angeles, CA: Los Angeles International",2003,101
LGA,"New York, NY: LaGuardia",2003,121
MCO,"Orlando, FL: Orlando International",2003,9
MDW,"Chicago, IL: Chicago Midway International",2003,47
MIA,"Miami, FL: Miami International",2003,28
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003,101
ORD,"Chicago, IL: Chicago O'Hare International",2003,261
PDX,"Portland, OR: Portland International",2003,17
PHL,"Philadelphia, PA: Philadelphia International",2003,83
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003,57
SAN,"San Diego, CA: San Diego International",2003,20
SEA,"Seattle, WA: Seattle/Tacoma International",2003,63
SFO,"San Francisco, CA: San Francisco International",2003,83
SLC,"Salt Lake City, UT: Salt Lake City International",2003,34
TPA,"Tampa, FL: Tampa International",2003,12
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003,484
BOS,"Boston, MA: Logan International",2003,226
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003,57
CLT,"Charlotte, NC: Charlotte Douglas International",2003,163
DCA,"Washington, DC: Ronald Reagan Washington National",2003,181
DEN,"Denver, CO: Denver International",2003,71
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003,274
DTW,"Detroit, MI: Detroit Metro Wayne County",2003,175
EWR,"Newark, NJ: Newark Liberty International",2003,285
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003,19
IAD,"Washington, DC: Washington Dulles International",2003,217
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003,90
JFK,"New York, NY: John F. Kennedy International",2003,32
LAS,"Las Vegas, NV: McCarran International",2003,73
LAX,"Los Angeles, CA: Los Angeles International",2003,145
LGA,"New York, NY: LaGuardia",2003,285
MCO,"Orlando, FL: Orlando International",2003,19
MDW,"Chicago, IL: Chicago Midway International",2003,62
MIA,"Miami, FL: Miami International",2003,44
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003,141
ORD,"Chicago, IL: Chicago O'Hare International",2003,1258
PDX,"Portland, OR: Portland International",2003,25
PHL,"Philadelphia, PA: Philadelphia International",2003,198
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003,96
SAN,"San Diego, CA: San Diego International",2003,34
SEA,"Seattle, WA: Seattle/Tacoma International",2003,82
SFO,"San Francisco, CA: San Francisco International",2003,79
SLC,"Salt Lake City, UT: Salt Lake City International",2003,58
TPA,"Tampa, FL: Tampa International",2003,18
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003,364
BOS,"Boston, MA: Logan International",2003,292
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003,66
CLT,"Charlotte, NC: Charlotte Douglas International",2003,189
DCA,"Washington, DC: Ronald Reagan Washington National",2003,262
DEN,"Denver, CO: Denver International",2003,79
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003,466
DTW,"Detroit, MI: Detroit Metro Wayne County",2003,412
EWR,"Newark, NJ: Newark Liberty International",2003,431
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003,36
IAD,"Washington, DC: Washington Dulles International",2003,190
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003,104
JFK,"New York, NY: John F. Kennedy International",2003,205
LAS,"Las Vegas, NV: McCarran International",2003,70
LAX,"Los Angeles, CA: Los Angeles International",2003,141
LGA,"New York, NY: LaGuardia",2003,597
MCO,"Orlando, FL: Orlando International",2003,48
MDW,"Chicago, IL: Chicago Midway International",2003,77
MIA,"Miami, FL: Miami International",2003,97
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003,182
ORD,"Chicago, IL: Chicago O'Hare International",2003,941
PDX,"Portland, OR: Portland International",2003,26
PHL,"Philadelphia, PA: Philadelphia International",2003,242
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003,117
SAN,"San Diego, CA: San Diego International",2003,27
SEA,"Seattle, WA: Seattle/Tacoma International",2003,113
SFO,"San Francisco, CA: San Francisco International",2003,96
SLC,"Salt Lake City, UT: Salt Lake City International",2003,74
TPA,"Tampa, FL: Tampa International",2003,37
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003,359
BOS,"Boston, MA: Logan International",2003,257
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003,205
CLT,"Charlotte, NC: Charlotte Douglas International",2003,145
DCA,"Washington, DC: Ronald Reagan Washington National",2003,354
DEN,"Denver, CO: Denver International",2003,50
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003,571
DTW,"Detroit, MI: Detroit Metro Wayne County",2003,144
EWR,"Newark, NJ: Newark Liberty International",2003,596
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003,35
IAD,"Washington, DC: Washington Dulles International",2003,320
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003,107
JFK,"New York, NY: John F. Kennedy International",2003,34
LAS,"Las Vegas, NV: McCarran International",2003,68
LAX,"Los Angeles, CA: Los Angeles International",2003,171
LGA,"New York, NY: LaGuardia",2003,341
MCO,"Orlando, FL: Orlando International",2003,63
MDW,"Chicago, IL: Chicago Midway International",2003,70
MIA,"Miami, FL: Miami International",2003,67
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003,117
